Exercício: 2020;;;;;;;
Escopo: Municípios do Estado - AL;;;;;;;
Tabela: Despesas por Função (Anexo I-E);;;;;;;
Instituição;Cod.IBGE;UF;População;Coluna;Conta;Identificador da Conta;Valor
Prefeitura Municipal de Olivença - AL;2706000;AL;11624;Despesas Empenhadas;Despesas Exceto Intraorçamentárias;siconfi-cor_TotalDespesas;42307419,81
Prefeitura Municipal de Olivença - AL;2706000;AL;11624;Despesas Empenhadas;01 - Legislativa;siconfi-cor_TotalDespesas;1237971,23
Prefeitura Municipal de Olivença - AL;2706000;AL;11624;Despesas Empenhadas;01.031 - Ação Legislativa;siconfi-cor_TotalDespesas;1237971,23
Prefeitura Municipal de Olivença - AL;2706000;AL;11624;Despesas Empenhadas;04 - Administração;siconfi-cor_TotalDespesas;5846845,98
Prefeitura Municipal de Olivença - AL;2706000;AL;11624;Despesas Empenhadas;04.122 - Administração Geral;siconfi-cor_TotalDespesas;5427699,45
Prefeitura Municipal de Olivença - AL;2706000;AL;11624;Despesas Empenhadas;04.124 - Controle Interno;siconfi-cor_TotalDespesas;99411,12
Prefeitura Municipal de Olivença - AL;2706000;AL;11624;Despesas Empenhadas;FU04 - Demais Subfunções;siconfi-cor_TotalDespesas;319735,41
Prefeitura Municipal de Olivença - AL;2706000;AL;11624;Despesas Empenhadas;08 - Assistência Social;siconfi-cor_TotalDespesas;1257390,01
Prefeitura Municipal de Olivença - AL;2706000;AL;11624;Despesas Empenhadas;08.241 - Assistência ao Idoso;siconfi-cor_TotalDespesas;133082,59
Prefeitura Municipal de Olivença - AL;2706000;AL;11624;Despesas Empenhadas;08.243 - Assistência à Criança e ao Adolescente;siconfi-cor_TotalDespesas;300987,22
Prefeitura Municipal de Olivença - AL;2706000;AL;11624;Despesas Empenhadas;08.244 - Assistência Comunitária;siconfi-cor_TotalDespesas;315023,03
Prefeitura Municipal de Olivença - AL;2706000;AL;11624;Despesas Empenhadas;08.122 - Administração Geral;siconfi-cor_TotalDespesas;508297,17
Prefeitura Municipal de Olivença - AL;2706000;AL;11624;Despesas Empenhadas;09 - Previdência Social;siconfi-cor_TotalDespesas;2461959,34
Prefeitura Municipal de Olivença - AL;2706000;AL;11624;Despesas Empenhadas;09.271 - Previdência Básica;siconfi-cor_TotalDespesas;2461959,34
Prefeitura Municipal de Olivença - AL;2706000;AL;11624;Despesas Empenhadas;10 - Saúde;siconfi-cor_TotalDespesas;7297535,97
Prefeitura Municipal de Olivença - AL;2706000;AL;11624;Despesas Empenhadas;10.301 - Atenção Básica;siconfi-cor_TotalDespesas;3018755,12
Prefeitura Municipal de Olivença - AL;2706000;AL;11624;Despesas Empenhadas;10.302 - Assistência Hospitalar e Ambulatorial;siconfi-cor_TotalDespesas;682963,46
Prefeitura Municipal de Olivença - AL;2706000;AL;11624;Despesas Empenhadas;10.303 - Suporte Profilático e Terapêutico;siconfi-cor_TotalDespesas;117608,51
Prefeitura Municipal de Olivença - AL;2706000;AL;11624;Despesas Empenhadas;10.304 - Vigilância Sanitária;siconfi-cor_TotalDespesas;297158,99
Prefeitura Municipal de Olivença - AL;2706000;AL;11624;Despesas Empenhadas;10.122 - Administração Geral;siconfi-cor_TotalDespesas;3181049,89
Prefeitura Municipal de Olivença - AL;2706000;AL;11624;Despesas Empenhadas;12 - Educação;siconfi-cor_TotalDespesas;16782828,6
Prefeitura Municipal de Olivença - AL;2706000;AL;11624;Despesas Empenhadas;12.361 - Ensino Fundamental;siconfi-cor_TotalDespesas;12635094,13
Prefeitura Municipal de Olivença - AL;2706000;AL;11624;Despesas Empenhadas;12.365 - Educação Infantil;siconfi-cor_TotalDespesas;156220,14
Prefeitura Municipal de Olivença - AL;2706000;AL;11624;Despesas Empenhadas;12.366 - Educação de Jovens e Adultos;siconfi-cor_TotalDespesas;110720
Prefeitura Municipal de Olivença - AL;2706000;AL;11624;Despesas Empenhadas;12.122 - Administração Geral;siconfi-cor_TotalDespesas;3880794,33
Prefeitura Municipal de Olivença - AL;2706000;AL;11624;Despesas Empenhadas;13 - Cultura;siconfi-cor_TotalDespesas;71915
Prefeitura Municipal de Olivença - AL;2706000;AL;11624;Despesas Empenhadas;13.392 - Difusão Cultural;siconfi-cor_TotalDespesas;71915
Prefeitura Municipal de Olivença - AL;2706000;AL;11624;Despesas Empenhadas;15 - Urbanismo;siconfi-cor_TotalDespesas;5105037,84
Prefeitura Municipal de Olivença - AL;2706000;AL;11624;Despesas Empenhadas;15.451 - Infraestrutura Urbana;siconfi-cor_TotalDespesas;626082,17
Prefeitura Municipal de Olivença - AL;2706000;AL;11624;Despesas Empenhadas;15.452 - Serviços Urbanos;siconfi-cor_TotalDespesas;1368160,01
Prefeitura Municipal de Olivença - AL;2706000;AL;11624;Despesas Empenhadas;15.122 - Administração Geral;siconfi-cor_TotalDespesas;3110795,66
Prefeitura Municipal de Olivença - AL;2706000;AL;11624;Despesas Empenhadas;20 - Agricultura;siconfi-cor_TotalDespesas;1096726,73
Prefeitura Municipal de Olivença - AL;2706000;AL;11624;Despesas Empenhadas;20.606 - Extensão Rural;siconfi-cor_TotalDespesas;31160
Prefeitura Municipal de Olivença - AL;2706000;AL;11624;Despesas Empenhadas;20.122 - Administração Geral;siconfi-cor_TotalDespesas;964588,49
Prefeitura Municipal de Olivença - AL;2706000;AL;11624;Despesas Empenhadas;FU20 - Demais Subfunções;siconfi-cor_TotalDespesas;100978,24
Prefeitura Municipal de Olivença - AL;2706000;AL;11624;Despesas Empenhadas;27 - Desporto e Lazer;siconfi-cor_TotalDespesas;580536,46
Prefeitura Municipal de Olivença - AL;2706000;AL;11624;Despesas Empenhadas;27.811 - Desporto de Rendimento;siconfi-cor_TotalDespesas;8347,5
Prefeitura Municipal de Olivença - AL;2706000;AL;11624;Despesas Empenhadas;27.812 - Desporto Comunitário;siconfi-cor_TotalDespesas;176424,92
Prefeitura Municipal de Olivença - AL;2706000;AL;11624;Despesas Empenhadas;27.813 - Lazer;siconfi-cor_TotalDespesas;395764,04
Prefeitura Municipal de Olivença - AL;2706000;AL;11624;Despesas Empenhadas;28 - Encargos Especiais;siconfi-cor_TotalDespesas;568672,65
Prefeitura Municipal de Olivença - AL;2706000;AL;11624;Despesas Empenhadas;28.843 - Serviço da Dívida Interna;siconfi-cor_TotalDespesas;568672,65
Prefeitura Municipal de Olivença - AL;2706000;AL;11624;Despesas Liquidadas;Despesas Exceto Intraorçamentárias;siconfi-cor_TotalDespesas;42064811,53
Prefeitura Municipal de Olivença - AL;2706000;AL;11624;Despesas Liquidadas;01 - Legislativa;siconfi-cor_TotalDespesas;1237971,23
Prefeitura Municipal de Olivença - AL;2706000;AL;11624;Despesas Liquidadas;01.031 - Ação Legislativa;siconfi-cor_TotalDespesas;1237971,23
Prefeitura Municipal de Olivença - AL;2706000;AL;11624;Despesas Liquidadas;04 - Administração;siconfi-cor_TotalDespesas;5745982,23
Prefeitura Municipal de Olivença - AL;2706000;AL;11624;Despesas Liquidadas;04.122 - Administração Geral;siconfi-cor_TotalDespesas;5326835,7
Prefeitura Municipal de Olivença - AL;2706000;AL;11624;Despesas Liquidadas;04.124 - Controle Interno;siconfi-cor_TotalDespesas;99411,12
Prefeitura Municipal de Olivença - AL;2706000;AL;11624;Despesas Liquidadas;FU04 - Demais Subfunções;siconfi-cor_TotalDespesas;319735,41
Prefeitura Municipal de Olivença - AL;2706000;AL;11624;Despesas Liquidadas;08 - Assistência Social;siconfi-cor_TotalDespesas;1248546,43
Prefeitura Municipal de Olivença - AL;2706000;AL;11624;Despesas Liquidadas;08.241 - Assistência ao Idoso;siconfi-cor_TotalDespesas;127538,81
Prefeitura Municipal de Olivença - AL;2706000;AL;11624;Despesas Liquidadas;08.243 - Assistência à Criança e ao Adolescente;siconfi-cor_TotalDespesas;300987,22
Prefeitura Municipal de Olivença - AL;2706000;AL;11624;Despesas Liquidadas;08.244 - Assistência Comunitária;siconfi-cor_TotalDespesas;311723,23
Prefeitura Municipal de Olivença - AL;2706000;AL;11624;Despesas Liquidadas;08.122 - Administração Geral;siconfi-cor_TotalDespesas;508297,17
Prefeitura Municipal de Olivença - AL;2706000;AL;11624;Despesas Liquidadas;09 - Previdência Social;siconfi-cor_TotalDespesas;2461959,34
Prefeitura Municipal de Olivença - AL;2706000;AL;11624;Despesas Liquidadas;09.271 - Previdência Básica;siconfi-cor_TotalDespesas;2461959,34
Prefeitura Municipal de Olivença - AL;2706000;AL;11624;Despesas Liquidadas;10 - Saúde;siconfi-cor_TotalDespesas;7232671,03
Prefeitura Municipal de Olivença - AL;2706000;AL;11624;Despesas Liquidadas;10.301 - Atenção Básica;siconfi-cor_TotalDespesas;2998564,9
Prefeitura Municipal de Olivença - AL;2706000;AL;11624;Despesas Liquidadas;10.302 - Assistência Hospitalar e Ambulatorial;siconfi-cor_TotalDespesas;682963,46
Prefeitura Municipal de Olivença - AL;2706000;AL;11624;Despesas Liquidadas;10.303 - Suporte Profilático e Terapêutico;siconfi-cor_TotalDespesas;117608,51
Prefeitura Municipal de Olivença - AL;2706000;AL;11624;Despesas Liquidadas;10.304 - Vigilância Sanitária;siconfi-cor_TotalDespesas;297158,99
Prefeitura Municipal de Olivença - AL;2706000;AL;11624;Despesas Liquidadas;10.122 - Administração Geral;siconfi-cor_TotalDespesas;3136375,17
Prefeitura Municipal de Olivença - AL;2706000;AL;11624;Despesas Liquidadas;12 - Educação;siconfi-cor_TotalDespesas;16781442,48
Prefeitura Municipal de Olivença - AL;2706000;AL;11624;Despesas Liquidadas;12.361 - Ensino Fundamental;siconfi-cor_TotalDespesas;12633708,01
Prefeitura Municipal de Olivença - AL;2706000;AL;11624;Despesas Liquidadas;12.365 - Educação Infantil;siconfi-cor_TotalDespesas;156220,14
Prefeitura Municipal de Olivença - AL;2706000;AL;11624;Despesas Liquidadas;12.366 - Educação de Jovens e Adultos;siconfi-cor_TotalDespesas;110720
Prefeitura Municipal de Olivença - AL;2706000;AL;11624;Despesas Liquidadas;12.122 - Administração Geral;siconfi-cor_TotalDespesas;3880794,33
Prefeitura Municipal de Olivença - AL;2706000;AL;11624;Despesas Liquidadas;13 - Cultura;siconfi-cor_TotalDespesas;71915
Prefeitura Municipal de Olivença - AL;2706000;AL;11624;Despesas Liquidadas;13.392 - Difusão Cultural;siconfi-cor_TotalDespesas;71915
Prefeitura Municipal de Olivença - AL;2706000;AL;11624;Despesas Liquidadas;15 - Urbanismo;siconfi-cor_TotalDespesas;5073063,26
Prefeitura Municipal de Olivença - AL;2706000;AL;11624;Despesas Liquidadas;15.451 - Infraestrutura Urbana;siconfi-cor_TotalDespesas;626082,17
Prefeitura Municipal de Olivença - AL;2706000;AL;11624;Despesas Liquidadas;15.452 - Serviços Urbanos;siconfi-cor_TotalDespesas;1368160,01
Prefeitura Municipal de Olivença - AL;2706000;AL;11624;Despesas Liquidadas;15.122 - Administração Geral;siconfi-cor_TotalDespesas;3078821,08
Prefeitura Municipal de Olivença - AL;2706000;AL;11624;Despesas Liquidadas;20 - Agricultura;siconfi-cor_TotalDespesas;1062051,42
Prefeitura Municipal de Olivença - AL;2706000;AL;11624;Despesas Liquidadas;20.606 - Extensão Rural;siconfi-cor_TotalDespesas;31160
Prefeitura Municipal de Olivença - AL;2706000;AL;11624;Despesas Liquidadas;20.122 - Administração Geral;siconfi-cor_TotalDespesas;929913,18
Prefeitura Municipal de Olivença - AL;2706000;AL;11624;Despesas Liquidadas;FU20 - Demais Subfunções;siconfi-cor_TotalDespesas;100978,24
Prefeitura Municipal de Olivença - AL;2706000;AL;11624;Despesas Liquidadas;27 - Desporto e Lazer;siconfi-cor_TotalDespesas;580536,46
Prefeitura Municipal de Olivença - AL;2706000;AL;11624;Despesas Liquidadas;27.811 - Desporto de Rendimento;siconfi-cor_TotalDespesas;8347,5
Prefeitura Municipal de Olivença - AL;2706000;AL;11624;Despesas Liquidadas;27.812 - Desporto Comunitário;siconfi-cor_TotalDespesas;176424,92
Prefeitura Municipal de Olivença - AL;2706000;AL;11624;Despesas Liquidadas;27.813 - Lazer;siconfi-cor_TotalDespesas;395764,04
Prefeitura Municipal de Olivença - AL;2706000;AL;11624;Despesas Liquidadas;28 - Encargos Especiais;siconfi-cor_TotalDespesas;568672,65
Prefeitura Municipal de Olivença - AL;2706000;AL;11624;Despesas Liquidadas;28.843 - Serviço da Dívida Interna;siconfi-cor_TotalDespesas;568672,65
Prefeitura Municipal de Olivença - AL;2706000;AL;11624;Despesas Pagas;Despesas Exceto Intraorçamentárias;siconfi-cor_TotalDespesas;42003192,1
Prefeitura Municipal de Olivença - AL;2706000;AL;11624;Despesas Pagas;01 - Legislativa;siconfi-cor_TotalDespesas;1237971,23
Prefeitura Municipal de Olivença - AL;2706000;AL;11624;Despesas Pagas;01.031 - Ação Legislativa;siconfi-cor_TotalDespesas;1237971,23
Prefeitura Municipal de Olivença - AL;2706000;AL;11624;Despesas Pagas;04 - Administração;siconfi-cor_TotalDespesas;5745982,23
Prefeitura Municipal de Olivença - AL;2706000;AL;11624;Despesas Pagas;04.122 - Administração Geral;siconfi-cor_TotalDespesas;5326835,7
Prefeitura Municipal de Olivença - AL;2706000;AL;11624;Despesas Pagas;04.124 - Controle Interno;siconfi-cor_TotalDespesas;99411,12
Prefeitura Municipal de Olivença - AL;2706000;AL;11624;Despesas Pagas;FU04 - Demais Subfunções;siconfi-cor_TotalDespesas;319735,41
Prefeitura Municipal de Olivença - AL;2706000;AL;11624;Despesas Pagas;08 - Assistência Social;siconfi-cor_TotalDespesas;1248116,43
Prefeitura Municipal de Olivença - AL;2706000;AL;11624;Despesas Pagas;08.241 - Assistência ao Idoso;siconfi-cor_TotalDespesas;127538,81
Prefeitura Municipal de Olivença - AL;2706000;AL;11624;Despesas Pagas;08.243 - Assistência à Criança e ao Adolescente;siconfi-cor_TotalDespesas;300987,22
Prefeitura Municipal de Olivença - AL;2706000;AL;11624;Despesas Pagas;08.244 - Assistência Comunitária;siconfi-cor_TotalDespesas;311723,23
Prefeitura Municipal de Olivença - AL;2706000;AL;11624;Despesas Pagas;08.122 - Administração Geral;siconfi-cor_TotalDespesas;507867,17
Prefeitura Municipal de Olivença - AL;2706000;AL;11624;Despesas Pagas;09 - Previdência Social;siconfi-cor_TotalDespesas;2461959,34
Prefeitura Municipal de Olivença - AL;2706000;AL;11624;Despesas Pagas;09.271 - Previdência Básica;siconfi-cor_TotalDespesas;2461959,34
Prefeitura Municipal de Olivença - AL;2706000;AL;11624;Despesas Pagas;10 - Saúde;siconfi-cor_TotalDespesas;7227213,8
Prefeitura Municipal de Olivença - AL;2706000;AL;11624;Despesas Pagas;10.301 - Atenção Básica;siconfi-cor_TotalDespesas;2998564,9
Prefeitura Municipal de Olivença - AL;2706000;AL;11624;Despesas Pagas;10.302 - Assistência Hospitalar e Ambulatorial;siconfi-cor_TotalDespesas;682963,46
Prefeitura Municipal de Olivença - AL;2706000;AL;11624;Despesas Pagas;10.303 - Suporte Profilático e Terapêutico;siconfi-cor_TotalDespesas;117608,51
Prefeitura Municipal de Olivença - AL;2706000;AL;11624;Despesas Pagas;10.304 - Vigilância Sanitária;siconfi-cor_TotalDespesas;297158,99
Prefeitura Municipal de Olivença - AL;2706000;AL;11624;Despesas Pagas;10.122 - Administração Geral;siconfi-cor_TotalDespesas;3130917,94
Prefeitura Municipal de Olivença - AL;2706000;AL;11624;Despesas Pagas;12 - Educação;siconfi-cor_TotalDespesas;16781442,49
Prefeitura Municipal de Olivença - AL;2706000;AL;11624;Despesas Pagas;12.361 - Ensino Fundamental;siconfi-cor_TotalDespesas;12633708,02
Prefeitura Municipal de Olivença - AL;2706000;AL;11624;Despesas Pagas;12.365 - Educação Infantil;siconfi-cor_TotalDespesas;156220,14
Prefeitura Municipal de Olivença - AL;2706000;AL;11624;Despesas Pagas;12.366 - Educação de Jovens e Adultos;siconfi-cor_TotalDespesas;110720
Prefeitura Municipal de Olivença - AL;2706000;AL;11624;Despesas Pagas;12.122 - Administração Geral;siconfi-cor_TotalDespesas;3880794,33
Prefeitura Municipal de Olivença - AL;2706000;AL;11624;Despesas Pagas;13 - Cultura;siconfi-cor_TotalDespesas;71915
Prefeitura Municipal de Olivença - AL;2706000;AL;11624;Despesas Pagas;13.392 - Difusão Cultural;siconfi-cor_TotalDespesas;71915
Prefeitura Municipal de Olivença - AL;2706000;AL;11624;Despesas Pagas;15 - Urbanismo;siconfi-cor_TotalDespesas;5017331,09
Prefeitura Municipal de Olivença - AL;2706000;AL;11624;Despesas Pagas;15.451 - Infraestrutura Urbana;siconfi-cor_TotalDespesas;626082,17
Prefeitura Municipal de Olivença - AL;2706000;AL;11624;Despesas Pagas;15.452 - Serviços Urbanos;siconfi-cor_TotalDespesas;1368160,01
Prefeitura Municipal de Olivença - AL;2706000;AL;11624;Despesas Pagas;15.122 - Administração Geral;siconfi-cor_TotalDespesas;3023088,91
Prefeitura Municipal de Olivença - AL;2706000;AL;11624;Despesas Pagas;20 - Agricultura;siconfi-cor_TotalDespesas;1062051,38
Prefeitura Municipal de Olivença - AL;2706000;AL;11624;Despesas Pagas;20.606 - Extensão Rural;siconfi-cor_TotalDespesas;31160
Prefeitura Municipal de Olivença - AL;2706000;AL;11624;Despesas Pagas;20.122 - Administração Geral;siconfi-cor_TotalDespesas;929913,14
Prefeitura Municipal de Olivença - AL;2706000;AL;11624;Despesas Pagas;FU20 - Demais Subfunções;siconfi-cor_TotalDespesas;100978,24
Prefeitura Municipal de Olivença - AL;2706000;AL;11624;Despesas Pagas;27 - Desporto e Lazer;siconfi-cor_TotalDespesas;580536,46
Prefeitura Municipal de Olivença - AL;2706000;AL;11624;Despesas Pagas;27.811 - Desporto de Rendimento;siconfi-cor_TotalDespesas;8347,5
Prefeitura Municipal de Olivença - AL;2706000;AL;11624;Despesas Pagas;27.812 - Desporto Comunitário;siconfi-cor_TotalDespesas;176424,92
Prefeitura Municipal de Olivença - AL;2706000;AL;11624;Despesas Pagas;27.813 - Lazer;siconfi-cor_TotalDespesas;395764,04
