Exercício: 2018;;;;;;;
Escopo: Municípios do Estado - AL;;;;;;;
Tabela: Receitas Orçamentárias (Anexo I-C);;;;;;;
Instituição;Cod.IBGE;UF;População;Coluna;Conta;Identificador da Conta;Valor
Prefeitura Municipal de Olho d'Água das Flores - AL;2705705;AL;21706;Receitas Brutas Realizadas;Total Receitas;siconfi-cor_TotalReceitas;60064463,34
Prefeitura Municipal de Olho d'Água das Flores - AL;2705705;AL;21706;Receitas Brutas Realizadas;1.0.0.0.00.0.0 - Receitas Correntes;siconfi-cor_RO1.0.0.0.00.0.0;50906307,91
Prefeitura Municipal de Olho d'Água das Flores - AL;2705705;AL;21706;Receitas Brutas Realizadas;1.1.0.0.00.0.0 - Impostos, Taxas e Contribuições de Melhoria;siconfi-cor_RO1.1.0.0.00.0.0;1676492,14
Prefeitura Municipal de Olho d'Água das Flores - AL;2705705;AL;21706;Receitas Brutas Realizadas;1.1.1.0.00.0.0 - Impostos;siconfi-cor_RO1.1.1.0.00.0.0;1579770,57
Prefeitura Municipal de Olho d'Água das Flores - AL;2705705;AL;21706;Receitas Brutas Realizadas;1.1.1.3.00.0.0 - Impostos sobre a Renda e Proventos de Qualquer Natureza;siconfi-cor_RO1.1.1.3.00.0.0;426543,62
Prefeitura Municipal de Olho d'Água das Flores - AL;2705705;AL;21706;Receitas Brutas Realizadas;1.1.1.3.03.0.0 - Imposto sobre a Renda - Retido na Fonte;siconfi-cor_RO1.1.1.3.03.0.0;426543,62
Prefeitura Municipal de Olho d'Água das Flores - AL;2705705;AL;21706;Receitas Brutas Realizadas;1.1.1.3.03.1.0 - Imposto sobre a Renda - Retido na Fonte - Trabalho;siconfi-cor_RO1.1.1.3.03.1.0;426543,62
Prefeitura Municipal de Olho d'Água das Flores - AL;2705705;AL;21706;Receitas Brutas Realizadas;1.1.1.8.00.0.0 Impostos Específicos de Estados, DF e Municípios;siconfi-cor_RO1.1.1.8.00.0.0;970118,35
Prefeitura Municipal de Olho d'Água das Flores - AL;2705705;AL;21706;Receitas Brutas Realizadas;1.1.1.8.01.0.0 Impostos sobre o Patrimônio para Estados/DF/Municípios;siconfi-cor_RO1.1.1.8.01.0.0;191190,54
Prefeitura Municipal de Olho d'Água das Flores - AL;2705705;AL;21706;Receitas Brutas Realizadas;1.1.1.8.01.1.0 Imposto sobre a Propriedade Predial e Territorial Urbana;siconfi-cor_RO1.1.1.8.01.1.0;115528,34
Prefeitura Municipal de Olho d'Água das Flores - AL;2705705;AL;21706;Receitas Brutas Realizadas;1.1.1.8.01.4.0 Imposto sobre Transmissão ¿Inter Vivos¿ de Bens Imóveis e de Direitos Reais sobre Imóveis;siconfi-cor_RO1.1.1.8.01.4.0;75662,2
Prefeitura Municipal de Olho d'Água das Flores - AL;2705705;AL;21706;Receitas Brutas Realizadas;1.1.1.8.02.0.0 Impostos sobre a Produção, Circulação de Mercadorias e Serviços;siconfi-cor_RO1.1.1.8.02.0.0;778927,81
Prefeitura Municipal de Olho d'Água das Flores - AL;2705705;AL;21706;Receitas Brutas Realizadas;1.1.1.8.02.3.0 Imposto sobre Serviços de Qualquer Natureza;siconfi-cor_RO1.1.1.8.02.3.0;778927,81
Prefeitura Municipal de Olho d'Água das Flores - AL;2705705;AL;21706;Receitas Brutas Realizadas;1.1.1.9.00.0.0 - Outros Impostos;siconfi-cor_RO1.1.1.9.00.0.0;183108,6
Prefeitura Municipal de Olho d'Água das Flores - AL;2705705;AL;21706;Receitas Brutas Realizadas;1.1.2.0.00.0.0 - Taxas;siconfi-cor_RO1.1.2.0.00.0.0;96721,57
Prefeitura Municipal de Olho d'Água das Flores - AL;2705705;AL;21706;Receitas Brutas Realizadas;1.1.2.1.00.0.0 - Taxas pelo Exercício do Poder de Polícia;siconfi-cor_RO1.1.2.1.00.0.0;96721,57
Prefeitura Municipal de Olho d'Água das Flores - AL;2705705;AL;21706;Receitas Brutas Realizadas;1.1.2.1.01.0.0 - Taxas de Inspeção, Controle e Fiscalização;siconfi-cor_RO1.1.2.1.01.0.0;96721,57
Prefeitura Municipal de Olho d'Água das Flores - AL;2705705;AL;21706;Receitas Brutas Realizadas;1.2.0.0.00.0.0 - Contribuições;siconfi-cor_RO1.2.0.0.00.0.0;1698527,62
Prefeitura Municipal de Olho d'Água das Flores - AL;2705705;AL;21706;Receitas Brutas Realizadas;1.2.1.0.00.0.0 - Contribuições Sociais;siconfi-cor_RO1.2.1.0.00.0.0;1687665,09
Prefeitura Municipal de Olho d'Água das Flores - AL;2705705;AL;21706;Receitas Brutas Realizadas;1.2.1.0.04.0.0 - Contribuição para o Regime Próprio de Previdência Social - RPPS;siconfi-cor_RO1.2.1.0.04.0.0;1687665,09
Prefeitura Municipal de Olho d'Água das Flores - AL;2705705;AL;21706;Receitas Brutas Realizadas;1.2.1.0.04.1.0 - Contribuição Patronal de Servidor Ativo Civil para o RPPS;siconfi-cor_RO1.2.1.0.04.1.0;1687665,09
Prefeitura Municipal de Olho d'Água das Flores - AL;2705705;AL;21706;Receitas Brutas Realizadas;1.2.4.0.00.0.0 - Contribuição para o Custeio do Serviço de Iluminação Pública;siconfi-cor_RO1.2.4.0.00.0.0;10862,53
Prefeitura Municipal de Olho d'Água das Flores - AL;2705705;AL;21706;Receitas Brutas Realizadas;1.3.0.0.00.0.0 - Receita Patrimonial;siconfi-cor_RO1.3.0.0.00.0.0;2050075,69
Prefeitura Municipal de Olho d'Água das Flores - AL;2705705;AL;21706;Receitas Brutas Realizadas;1.3.2.0.00.0.0 - Valores Mobiliários;siconfi-cor_RO1.3.2.0.00.0.0;2050075,69
Prefeitura Municipal de Olho d'Água das Flores - AL;2705705;AL;21706;Receitas Brutas Realizadas;1.3.2.1.00.0.0 - Juros e Correções Monetárias;siconfi-cor_RO1.3.2.1.00.0.0;2050075,69
Prefeitura Municipal de Olho d'Água das Flores - AL;2705705;AL;21706;Receitas Brutas Realizadas;1.3.2.1.00.1.0 - Remuneração de Depósitos Bancários;siconfi-cor_RO1.3.2.1.00.1.0;155545,99
Prefeitura Municipal de Olho d'Água das Flores - AL;2705705;AL;21706;Receitas Brutas Realizadas;1.3.2.1.00.4.0 - Remuneração dos Recursos do Regime Próprio de Previdência Social - RPPS;siconfi-cor_RO1.3.2.1.00.4.0;1894529,7
Prefeitura Municipal de Olho d'Água das Flores - AL;2705705;AL;21706;Receitas Brutas Realizadas;1.7.0.0.00.0.0 - Transferências Correntes;siconfi-cor_RO1.7.0.0.00.0.0;45437758,21
Prefeitura Municipal de Olho d'Água das Flores - AL;2705705;AL;21706;Receitas Brutas Realizadas;1.7.1.0.00.0.0 - Transferências da União e de suas Entidades;siconfi-cor_RO1.7.1.0.00.0.0;29252754,81
Prefeitura Municipal de Olho d'Água das Flores - AL;2705705;AL;21706;Receitas Brutas Realizadas;1.7.1.8.00.0.0 Transferências da União - Específicas de Estados, DF e Municípios;siconfi-cor_RO1.7.1.8.00.0.0;29252754,81
Prefeitura Municipal de Olho d'Água das Flores - AL;2705705;AL;21706;Receitas Brutas Realizadas;1.7.1.8.01.0.0 Participação na Receita da União;siconfi-cor_RO1.7.1.8.01.0.0;18601105,29
Prefeitura Municipal de Olho d'Água das Flores - AL;2705705;AL;21706;Receitas Brutas Realizadas;1.7.1.8.01.2.0 Cota-Parte do Fundo de Participação dos Municípios - Cota Mensal;siconfi-cor_RO1.7.1.8.01.2.0;17099377,4
