Exercício: 2017;;;;;;;
Escopo: Municípios do Estado - AL;;;;;;;
Tabela: Receitas Orçamentárias (Anexo I-C);;;;;;;
Instituição;Cod.IBGE;UF;População;Coluna;Conta;Identificador da Conta;Valor
Prefeitura Municipal de Paripueira - AL;2706448;AL;13076;Receitas Brutas Realizadas;Total Receitas;siconfi-cor_TotalReceitas;36994905,24
Prefeitura Municipal de Paripueira - AL;2706448;AL;13076;Receitas Brutas Realizadas;1.0.0.0.00.00.00 - Receitas Correntes;siconfi-cor_RO1.0.0.0.00.00.00;36493054,88
Prefeitura Municipal de Paripueira - AL;2706448;AL;13076;Receitas Brutas Realizadas;1.1.0.0.00.00.00 - Receita Tributária;siconfi-cor_RO1.1.0.0.00.00.00;2590226,18
Prefeitura Municipal de Paripueira - AL;2706448;AL;13076;Receitas Brutas Realizadas;1.1.1.0.00.00.00 - Impostos;siconfi-cor_RO1.1.1.0.00.00.00;2590226,18
Prefeitura Municipal de Paripueira - AL;2706448;AL;13076;Receitas Brutas Realizadas;1.1.1.2.00.00.00 - Impostos sobre o Patrimônio e a Renda;siconfi-cor_RO1.1.1.2.00.00.00;1636243,97
Prefeitura Municipal de Paripueira - AL;2706448;AL;13076;Receitas Brutas Realizadas;1.1.1.2.02.00.00 - Imposto sobre a Propriedade Predial e Territorial Urbana ¿ IPTU;siconfi-cor_RO1.1.1.2.02.00.00;134243,76
Prefeitura Municipal de Paripueira - AL;2706448;AL;13076;Receitas Brutas Realizadas;1.1.1.2.04.00.00 - Imposto sobre a Renda e Proventos de Qualquer Natureza ¿ IR;siconfi-cor_RO1.1.1.2.04.00.00;1340672,86
Prefeitura Municipal de Paripueira - AL;2706448;AL;13076;Receitas Brutas Realizadas;1.1.1.2.04.31.00 - Retido nas Fontes - Trabalho;siconfi-cor_RO1.1.1.2.04.31.00;1340672,86
Prefeitura Municipal de Paripueira - AL;2706448;AL;13076;Receitas Brutas Realizadas;"1.1.1.2.08.00.00 - Imposto sobre Transmissão Inter Vivos"" de Bens Imóveis e de Direitos Reais sobre Imóveis ¿ ITBI""";siconfi-cor_RO1.1.1.2.08.00.00;161327,35
Prefeitura Municipal de Paripueira - AL;2706448;AL;13076;Receitas Brutas Realizadas;1.1.1.3.00.00.00 - Impostos sobre a Produção e a Circulação;siconfi-cor_RO1.1.1.3.00.00.00;953982,21
