Exercício: 2018;;;;;;;
Escopo: Municípios do Estado - AL;;;;;;;
Tabela: Despesas por Função (Anexo I-E);;;;;;;
Instituição;Cod.IBGE;UF;População;Coluna;Conta;Identificador da Conta;Valor
Prefeitura Municipal de Olho d'Água das Flores - AL;2705705;AL;21706;Despesas Empenhadas;Despesas Exceto Intraorçamentárias;siconfi-cor_TotalDespesas;53290351,38
Prefeitura Municipal de Olho d'Água das Flores - AL;2705705;AL;21706;Despesas Empenhadas;01 - Legislativa;siconfi-cor_TotalDespesas;1637397,64
Prefeitura Municipal de Olho d'Água das Flores - AL;2705705;AL;21706;Despesas Empenhadas;01.031 - Ação Legislativa;siconfi-cor_TotalDespesas;1637397,64
Prefeitura Municipal de Olho d'Água das Flores - AL;2705705;AL;21706;Despesas Empenhadas;04 - Administração;siconfi-cor_TotalDespesas;4551672,5
Prefeitura Municipal de Olho d'Água das Flores - AL;2705705;AL;21706;Despesas Empenhadas;04.122 - Administração Geral;siconfi-cor_TotalDespesas;3154415,34
Prefeitura Municipal de Olho d'Água das Flores - AL;2705705;AL;21706;Despesas Empenhadas;04.123 - Administração Financeira;siconfi-cor_TotalDespesas;1338957,16
Prefeitura Municipal de Olho d'Água das Flores - AL;2705705;AL;21706;Despesas Empenhadas;04.124 - Controle Interno;siconfi-cor_TotalDespesas;58200
Prefeitura Municipal de Olho d'Água das Flores - AL;2705705;AL;21706;Despesas Empenhadas;FU04 - Demais Subfunções;siconfi-cor_TotalDespesas;100
Prefeitura Municipal de Olho d'Água das Flores - AL;2705705;AL;21706;Despesas Empenhadas;08 - Assistência Social;siconfi-cor_TotalDespesas;1663336,99
Prefeitura Municipal de Olho d'Água das Flores - AL;2705705;AL;21706;Despesas Empenhadas;08.243 - Assistência à Criança e ao Adolescente;siconfi-cor_TotalDespesas;483271,51
Prefeitura Municipal de Olho d'Água das Flores - AL;2705705;AL;21706;Despesas Empenhadas;08.244 - Assistência Comunitária;siconfi-cor_TotalDespesas;393006,4
