Exercício: 2015;;;;;;;
Escopo: Municípios do Estado - AL;;;;;;;
Tabela: Receitas Orçamentárias (Anexo I-C);;;;;;;
Instituição;Cod.IBGE;UF;População;Coluna;Conta;Identificador da Conta;Valor
Prefeitura Municipal de Novo Lino - AL;2705606;AL;12583;Receitas Brutas Realizadas;Total Receitas;siconfi-cor_TotalReceitas;46102725,69
Prefeitura Municipal de Novo Lino - AL;2705606;AL;12583;Receitas Brutas Realizadas;1.0.0.0.00.00.00 - Receitas Correntes;siconfi-cor_RO1.0.0.0.00.00.00;44918089,49
Prefeitura Municipal de Novo Lino - AL;2705606;AL;12583;Receitas Brutas Realizadas;1.1.0.0.00.00.00 - Receita Tributária;siconfi-cor_RO1.1.0.0.00.00.00;1485488,14
Prefeitura Municipal de Novo Lino - AL;2705606;AL;12583;Receitas Brutas Realizadas;1.1.1.0.00.00.00 - Impostos;siconfi-cor_RO1.1.1.0.00.00.00;798812,38
Prefeitura Municipal de Novo Lino - AL;2705606;AL;12583;Receitas Brutas Realizadas;1.1.1.2.00.00.00 - Impostos sobre o Patrimônio e a Renda;siconfi-cor_RO1.1.1.2.00.00.00;217944,28
Prefeitura Municipal de Novo Lino - AL;2705606;AL;12583;Receitas Brutas Realizadas;1.1.1.2.02.00.00 - Imposto sobre a Propriedade Predial e Territorial Urbana ¿ IPTU;siconfi-cor_RO1.1.1.2.02.00.00;4590,16
Prefeitura Municipal de Novo Lino - AL;2705606;AL;12583;Receitas Brutas Realizadas;1.1.1.2.04.00.00 - Imposto sobre a Renda e Proventos de Qualquer Natureza ¿ IR;siconfi-cor_RO1.1.1.2.04.00.00;180223,22
Prefeitura Municipal de Novo Lino - AL;2705606;AL;12583;Receitas Brutas Realizadas;1.1.1.2.04.31.00 - Retido nas Fontes - Trabalho;siconfi-cor_RO1.1.1.2.04.31.00;146609,33
Prefeitura Municipal de Novo Lino - AL;2705606;AL;12583;Receitas Brutas Realizadas;1.1.1.2.04.34.00 - Retido nas Fontes - Outros Rendimentos;siconfi-cor_RO1.1.1.2.04.34.00;33613,89
Prefeitura Municipal de Novo Lino - AL;2705606;AL;12583;Receitas Brutas Realizadas;"1.1.1.2.08.00.00 - Imposto sobre Transmissão Inter Vivos"" de Bens Imóveis e de Direitos Reais sobre Imóveis ¿ ITBI""";siconfi-cor_RO1.1.1.2.08.00.00;33130,9
Prefeitura Municipal de Novo Lino - AL;2705606;AL;12583;Receitas Brutas Realizadas;1.1.1.3.00.00.00 - Impostos sobre a Produção e a Circulação;siconfi-cor_RO1.1.1.3.00.00.00;580868,1
Prefeitura Municipal de Novo Lino - AL;2705606;AL;12583;Receitas Brutas Realizadas;1.1.1.3.05.00.00 - Imposto sobre Serviços de Qualquer Natureza ¿ ISSQN;siconfi-cor_RO1.1.1.3.05.00.00;580868,1
Prefeitura Municipal de Novo Lino - AL;2705606;AL;12583;Receitas Brutas Realizadas;1.1.2.0.00.00.00 - Taxas;siconfi-cor_RO1.1.2.0.00.00.00;686675,76
Prefeitura Municipal de Novo Lino - AL;2705606;AL;12583;Receitas Brutas Realizadas;1.1.2.1.00.00.00 - Taxas pelo Exercício do Poder de Polícia;siconfi-cor_RO1.1.2.1.00.00.00;17852,33
Prefeitura Municipal de Novo Lino - AL;2705606;AL;12583;Receitas Brutas Realizadas;1.1.2.2.00.00.00 - Taxas pela Prestação de Serviços;siconfi-cor_RO1.1.2.2.00.00.00;668823,43
Prefeitura Municipal de Novo Lino - AL;2705606;AL;12583;Receitas Brutas Realizadas;1.2.0.0.00.00.00 - Receitas de Contribuições;siconfi-cor_RO1.2.0.0.00.00.00;1096672,98
Prefeitura Municipal de Novo Lino - AL;2705606;AL;12583;Receitas Brutas Realizadas;1.2.1.0.00.00.00 - Contribuições Sociais;siconfi-cor_RO1.2.1.0.00.00.00;1096672,98
Prefeitura Municipal de Novo Lino - AL;2705606;AL;12583;Receitas Brutas Realizadas;1.2.1.0.29.00.00 - Contribuições para o Regime Próprio de Previdência do Servidor Público;siconfi-cor_RO1.2.1.0.29.00.00;999431,06
Prefeitura Municipal de Novo Lino - AL;2705606;AL;12583;Receitas Brutas Realizadas;1.2.1.0.29.07.00 - Contribuição do Servidor Ativo Civil para o Regime Próprio;siconfi-cor_RO1.2.1.0.29.07.00;999431,06
Prefeitura Municipal de Novo Lino - AL;2705606;AL;12583;Receitas Brutas Realizadas;1.2.1.0.99.00.00 - Outras Contribuições Sociais;siconfi-cor_RO1.2.1.0.99.00.00;97241,92
Prefeitura Municipal de Novo Lino - AL;2705606;AL;12583;Receitas Brutas Realizadas;1.3.0.0.00.00.00 - Receita Patrimonial;siconfi-cor_RO1.3.0.0.00.00.00;183975,81
Prefeitura Municipal de Novo Lino - AL;2705606;AL;12583;Receitas Brutas Realizadas;1.3.2.0.00.00.00 - Receitas de Valores Mobiliários;siconfi-cor_RO1.3.2.0.00.00.00;183975,81
Prefeitura Municipal de Novo Lino - AL;2705606;AL;12583;Receitas Brutas Realizadas;1.3.2.5.00.00.00 - Remuneração de Depósitos Bancários;siconfi-cor_RO1.3.2.5.00.00.00;183975,81
Prefeitura Municipal de Novo Lino - AL;2705606;AL;12583;Receitas Brutas Realizadas;1.7.0.0.00.00.00 - Transferências Correntes;siconfi-cor_RO1.7.0.0.00.00.00;41462948,15
Prefeitura Municipal de Novo Lino - AL;2705606;AL;12583;Receitas Brutas Realizadas;1.7.2.0.00.00.00 - Transferências Intergovernamentais;siconfi-cor_RO1.7.2.0.00.00.00;41462948,15
Prefeitura Municipal de Novo Lino - AL;2705606;AL;12583;Receitas Brutas Realizadas;1.7.2.1.00.00.00 - Transferências da União;siconfi-cor_RO1.7.2.1.00.00.00;29351217,44
Prefeitura Municipal de Novo Lino - AL;2705606;AL;12583;Receitas Brutas Realizadas;1.7.2.1.01.00.00 - Participação na Receita da União;siconfi-cor_RO1.7.2.1.01.00.00;10352373,84
Prefeitura Municipal de Novo Lino - AL;2705606;AL;12583;Receitas Brutas Realizadas;1.7.2.1.01.02.00 - Cota-Parte do Fundo de Participação dos Municípios ¿ FPM;siconfi-cor_RO1.7.2.1.01.02.00;10340020,31
Prefeitura Municipal de Novo Lino - AL;2705606;AL;12583;Receitas Brutas Realizadas;1.7.2.1.01.05.00 - Cota-Parte do Imposto Sobre a Propriedade Territorial Rural ¿ ITR;siconfi-cor_RO1.7.2.1.01.05.00;12353,53
Prefeitura Municipal de Novo Lino - AL;2705606;AL;12583;Receitas Brutas Realizadas;1.7.2.1.22.00.00 - Transferências da Compensação Financeira pela Exploração de Recursos Naturais;siconfi-cor_RO1.7.2.1.22.00.00;133678,94
Prefeitura Municipal de Novo Lino - AL;2705606;AL;12583;Receitas Brutas Realizadas;1.7.2.1.22.30.00 - Cota-Parte Royalties ¿ Compensação Financeira pela Produção de Petróleo ¿ Lei nº 7.990/89;siconfi-cor_RO1.7.2.1.22.30.00;23855,56
Prefeitura Municipal de Novo Lino - AL;2705606;AL;12583;Receitas Brutas Realizadas;1.7.2.1.22.70.00 - Cota-Parte do Fundo Especial do Petróleo ¿ FEP;siconfi-cor_RO1.7.2.1.22.70.00;109823,38
Prefeitura Municipal de Novo Lino - AL;2705606;AL;12583;Receitas Brutas Realizadas;1.7.2.1.33.00.00 - Transferências de Recursos do Sistema Único de Saúde - SUS - Repasses Fundo a Fundo;siconfi-cor_RO1.7.2.1.33.00.00;2749574,22
Prefeitura Municipal de Novo Lino - AL;2705606;AL;12583;Receitas Brutas Realizadas;1.7.2.1.34.00.00 - Transferências de Recursos do Fundo Nacional de Assistência Social ¿ FNAS;siconfi-cor_RO1.7.2.1.34.00.00;394303,89
Prefeitura Municipal de Novo Lino - AL;2705606;AL;12583;Receitas Brutas Realizadas;1.7.2.1.35.00.00 - Transferências de Recursos do Fundo Nacional do Desenvolvimento da Educação ¿ FNDE;siconfi-cor_RO1.7.2.1.35.00.00;678881,5
Prefeitura Municipal de Novo Lino - AL;2705606;AL;12583;Receitas Brutas Realizadas;1.7.2.1.36.00.00 - Transferências Financeiras do ICMS ¿ Desoneração ¿ L.C. Nº 87/96;siconfi-cor_RO1.7.2.1.36.00.00;12280,06
Prefeitura Municipal de Novo Lino - AL;2705606;AL;12583;Receitas Brutas Realizadas;1.7.2.1.99.00.00 - Outras Transferências da União;siconfi-cor_RO1.7.2.1.99.00.00;15030124,99
Prefeitura Municipal de Novo Lino - AL;2705606;AL;12583;Receitas Brutas Realizadas;1.7.2.2.00.00.00 - Transferências dos Estados;siconfi-cor_RO1.7.2.2.00.00.00;3417906,37
Prefeitura Municipal de Novo Lino - AL;2705606;AL;12583;Receitas Brutas Realizadas;1.7.2.2.01.00.00 - Participação na Receita dos Estados;siconfi-cor_RO1.7.2.2.01.00.00;3408585,03
Prefeitura Municipal de Novo Lino - AL;2705606;AL;12583;Receitas Brutas Realizadas;1.7.2.2.01.01.00 - Cota-Parte do ICMS;siconfi-cor_RO1.7.2.2.01.01.00;3302379,5
Prefeitura Municipal de Novo Lino - AL;2705606;AL;12583;Receitas Brutas Realizadas;1.7.2.2.01.02.00 - Cota-Parte do IPVA;siconfi-cor_RO1.7.2.2.01.02.00;54202,01
Prefeitura Municipal de Novo Lino - AL;2705606;AL;12583;Receitas Brutas Realizadas;1.7.2.2.01.04.00 - Cota-Parte do IPI sobre Exportação;siconfi-cor_RO1.7.2.2.01.04.00;2075,82
Prefeitura Municipal de Novo Lino - AL;2705606;AL;12583;Receitas Brutas Realizadas;1.7.2.2.01.99.00 - Outras Participações na Receita dos Estados;siconfi-cor_RO1.7.2.2.01.99.00;49927,7
Prefeitura Municipal de Novo Lino - AL;2705606;AL;12583;Receitas Brutas Realizadas;1.7.2.2.22.00.00 - Transferências da Cota-Parte da Compensação Financeira (25%);siconfi-cor_RO1.7.2.2.22.00.00;9321,34
Prefeitura Municipal de Novo Lino - AL;2705606;AL;12583;Receitas Brutas Realizadas;1.7.2.2.22.30.00 - Cota-Parte Royalties - Compensação Financeira pela Produção de Petróleo - Lei nº 7.990/89 artigo 9º;siconfi-cor_RO1.7.2.2.22.30.00;1979,52
Prefeitura Municipal de Novo Lino - AL;2705606;AL;12583;Receitas Brutas Realizadas;1.7.2.2.22.90.00 - Outras Transferências Decorrentes de Compensações Financeiras;siconfi-cor_RO1.7.2.2.22.90.00;7341,82
Prefeitura Municipal de Novo Lino - AL;2705606;AL;12583;Receitas Brutas Realizadas;1.7.2.4.00.00.00 - Transferências Multigovernamentais;siconfi-cor_RO1.7.2.4.00.00.00;8693824,34
Prefeitura Municipal de Novo Lino - AL;2705606;AL;12583;Receitas Brutas Realizadas;1.7.2.4.01.00.00 - Transferências de Recursos do Fundo de Manutenção e Desenvolvimento do Ensino Fundamental e de Valorização do Magistério - FUNDEB;siconfi-cor_RO1.7.2.4.01.00.00;6360434,19
Prefeitura Municipal de Novo Lino - AL;2705606;AL;12583;Receitas Brutas Realizadas;1.7.2.4.02.00.00 - Transferências de Recursos da Complementação ao Fundo de Manutenção e Desenvolvimento do Ensino Fundamental e de Valorização do Magistério - FUNDEB;siconfi-cor_RO1.7.2.4.02.00.00;2333390,15
Prefeitura Municipal de Novo Lino - AL;2705606;AL;12583;Receitas Brutas Realizadas;1.9.0.0.00.00.00 - Outras Receitas Correntes;siconfi-cor_RO1.9.0.0.00.00.00;689004,41
Prefeitura Municipal de Novo Lino - AL;2705606;AL;12583;Receitas Brutas Realizadas;1.9.9.0.00.00.00 - Receitas Diversas;siconfi-cor_RO1.9.9.0.00.00.00;689004,41
Prefeitura Municipal de Novo Lino - AL;2705606;AL;12583;Receitas Brutas Realizadas;2.0.0.0.00.00.00 - Receitas de Capital;siconfi-cor_RO2.0.0.0.00.00.00;36118,89
Prefeitura Municipal de Novo Lino - AL;2705606;AL;12583;Receitas Brutas Realizadas;2.4.0.0.00.00.00 - Transferências de Capital;siconfi-cor_RO2.4.0.0.00.00.00;36118,89
Prefeitura Municipal de Novo Lino - AL;2705606;AL;12583;Receitas Brutas Realizadas;2.4.7.0.00.00.00 - Transferências de Convênios;siconfi-cor_RO2.4.7.0.00.00.00;36118,89
Prefeitura Municipal de Novo Lino - AL;2705606;AL;12583;Receitas Brutas Realizadas;2.4.7.1.00.00.00 - Transferências de Convênios da União e de suas Entidades;siconfi-cor_RO2.4.7.1.00.00.00;36118,89
Prefeitura Municipal de Novo Lino - AL;2705606;AL;12583;Receitas Brutas Realizadas;2.4.7.1.99.00.00 - Outras Transferências de Convênios da União;siconfi-cor_RO2.4.7.1.99.00.00;36118,89
Prefeitura Municipal de Novo Lino - AL;2705606;AL;12583;Receitas Brutas Realizadas;7.0.0.0.00.00.00 - Receitas Correntes Intraorçamentárias;siconfi-cor_RI7.0.0.0.00.00.00;1148517,31
Prefeitura Municipal de Novo Lino - AL;2705606;AL;12583;Receitas Brutas Realizadas;7.2.0.0.00.00.00 - Receitas de Contribuições Intraorçamentárias;siconfi-cor_RI7.2.0.0.00.00.00;1148517,31
Prefeitura Municipal de Novo Lino - AL;2705606;AL;12583;Receitas Brutas Realizadas;7.2.1.0.00.00.00 - Contribuições Sociais Intraorçamentárias;siconfi-cor_RI7.2.1.0.00.00.00;1148517,31
Prefeitura Municipal de Novo Lino - AL;2705606;AL;12583;Receitas Brutas Realizadas;7.2.1.0.99.00.00 - Outras Contribuições Sociais Intraorçamentárias;siconfi-cor_RI7.2.1.0.99.00.00;1148517,31
