Exercício: 2016;;;;;;;;
Escopo: Municípios do Estado - AL;;;;;;;;
Tabela: Receitas Orçamentárias (Anexo I-C);;;;;;;;
Instituição;Cod.IBGE;UF;População;Coluna;Conta;Identificador da Conta; Valor ;
Prefeitura Municipal de Maceió - AL;2704302;AL;1013773;Receitas Brutas Realizadas;1.3.1.0.00.00.00 - Receitas Imobiliárias;siconfi-cor_RO1.3.1.0.00.00.00; R$ 153.606,41 ;
Prefeitura Municipal de Maceió - AL;2704302;AL;1013773;Receitas Brutas Realizadas;1.3.1.3.00.00.00 - Foros;siconfi-cor_RO1.3.1.3.00.00.00; R$ 67.826,92 ;
Prefeitura Municipal de Maceió - AL;2704302;AL;1013773;Receitas Brutas Realizadas;1.3.1.4.00.00.00 - Laudêmios;siconfi-cor_RO1.3.1.4.00.00.00; R$ 16.956,73 ;
Prefeitura Municipal de Maceió - AL;2704302;AL;1013773;Receitas Brutas Realizadas;1.3.1.9.00.00.00 - Outras Receitas Imobiliárias;siconfi-cor_RO1.3.1.9.00.00.00; R$ 68.822,76 ;
Prefeitura Municipal de Maceió - AL;2704302;AL;1013773;Receitas Brutas Realizadas;1.3.2.0.00.00.00 - Receitas de Valores Mobiliários;siconfi-cor_RO1.3.2.0.00.00.00; R$ 52.081.715,08 ;
Prefeitura Municipal de Maceió - AL;2704302;AL;1013773;Receitas Brutas Realizadas;1.3.2.5.00.00.00 - Remuneração de Depósitos Bancários;siconfi-cor_RO1.3.2.5.00.00.00; R$ 24.774.230,09 ;
Prefeitura Municipal de Maceió - AL;2704302;AL;1013773;Receitas Brutas Realizadas;1.3.2.8.00.00.00 - Remuneração dos Investimentos do Regime Próprio de Previdência do Servidor;siconfi-cor_RO1.3.2.8.00.00.00; R$ 27.307.484,99 ;
Prefeitura Municipal de Maceió - AL;2704302;AL;1013773;Receitas Brutas Realizadas;1.3.3.0.00.00.00 - Receitas de Concessões e Permissões;siconfi-cor_RO1.3.3.0.00.00.00; R$ 1.150.858,77 ;
Prefeitura Municipal de Maceió - AL;2704302;AL;1013773;Receitas Brutas Realizadas;1.6.0.0.00.00.00 - Receita de Serviços;siconfi-cor_RO1.6.0.0.00.00.00; R$ 599.887,16 ;
Prefeitura Municipal de Maceió - AL;2704302;AL;1013773;Receitas Brutas Realizadas;1.6.0.0.28.00.00 - Serviços de Geoprocessamento;siconfi-cor_RO1.6.0.0.28.00.00; R$ 2.503,16 ;
