Exercício: 2020;;;;;;;
Escopo: Municípios do Estado - AL;;;;;;;
Tabela: Receitas Orçamentárias (Anexo I-C);;;;;;;
Instituição;Cod.IBGE;UF;População;Coluna;Conta;Identificador da Conta;Valor
Prefeitura Municipal de Olivença - AL;2706000;AL;11624;Receitas Brutas Realizadas;RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I);siconfi-cor_ReceitasExcetoIntraOrcamentarias;41179255,77
Prefeitura Municipal de Olivença - AL;2706000;AL;11624;Receitas Brutas Realizadas;1.0.0.0.00.0.0 - Receitas Correntes;siconfi-cor_RO1.0.0.0.00.0.0;40814165,15
Prefeitura Municipal de Olivença - AL;2706000;AL;11624;Receitas Brutas Realizadas;1.1.0.0.00.0.0 - Impostos, Taxas e Contribuições de Melhoria;siconfi-cor_RO1.1.0.0.00.0.0;931771,29
Prefeitura Municipal de Olivença - AL;2706000;AL;11624;Receitas Brutas Realizadas;1.1.1.0.00.0.0 - Impostos;siconfi-cor_RO1.1.1.0.00.0.0;872712,1
Prefeitura Municipal de Olivença - AL;2706000;AL;11624;Receitas Brutas Realizadas;1.1.1.2.00.0.0 - Impostos sobre o Patrimônio;siconfi-cor_RO1.1.1.2.00.0.0;6417,76
Prefeitura Municipal de Olivença - AL;2706000;AL;11624;Receitas Brutas Realizadas;1.1.1.2.01.0.0 - Imposto sobre a Propriedade Territorial Rural;siconfi-cor_RO1.1.1.2.01.0.0;6417,76
Prefeitura Municipal de Olivença - AL;2706000;AL;11624;Receitas Brutas Realizadas;1.1.1.3.00.0.0 - Impostos sobre a Renda e Proventos de Qualquer Natureza;siconfi-cor_RO1.1.1.3.00.0.0;499785,62
Prefeitura Municipal de Olivença - AL;2706000;AL;11624;Receitas Brutas Realizadas;1.1.1.3.01.0.0 - Imposto sobre a Renda de Pessoa Física - IRPF;siconfi-cor_RO1.1.1.3.01.0.0;499785,62
Prefeitura Municipal de Olivença - AL;2706000;AL;11624;Receitas Brutas Realizadas;1.1.1.8.00.0.0 Impostos Específicos de Estados, DF e Municípios;siconfi-cor_RO1.1.1.8.00.0.0;364508,6
Prefeitura Municipal de Olivença - AL;2706000;AL;11624;Receitas Brutas Realizadas;1.1.1.8.01.0.0 Impostos sobre o Patrimônio para Estados/DF/Municípios;siconfi-cor_RO1.1.1.8.01.0.0;1069,57
Prefeitura Municipal de Olivença - AL;2706000;AL;11624;Receitas Brutas Realizadas;1.1.1.8.01.1.0 Imposto sobre a Propriedade Predial e Territorial Urbana;siconfi-cor_RO1.1.1.8.01.1.0;310,77
Prefeitura Municipal de Olivença - AL;2706000;AL;11624;Receitas Brutas Realizadas;1.1.1.8.01.4.0 Imposto sobre Transmissão ¿Inter Vivos¿ de Bens Imóveis e de Direitos Reais sobre Imóveis;siconfi-cor_RO1.1.1.8.01.4.0;758,8
Prefeitura Municipal de Olivença - AL;2706000;AL;11624;Receitas Brutas Realizadas;1.1.1.8.02.0.0 Impostos sobre a Produção, Circulação de Mercadorias e Serviços;siconfi-cor_RO1.1.1.8.02.0.0;363439,03
Prefeitura Municipal de Olivença - AL;2706000;AL;11624;Receitas Brutas Realizadas;1.1.1.8.02.3.0 Imposto sobre Serviços de Qualquer Natureza;siconfi-cor_RO1.1.1.8.02.3.0;363439,03
Prefeitura Municipal de Olivença - AL;2706000;AL;11624;Receitas Brutas Realizadas;1.1.1.9.00.0.0 - Outros Impostos;siconfi-cor_RO1.1.1.9.00.0.0;2000,12
Prefeitura Municipal de Olivença - AL;2706000;AL;11624;Receitas Brutas Realizadas;1.1.2.0.00.0.0 - Taxas;siconfi-cor_RO1.1.2.0.00.0.0;59059,19
Prefeitura Municipal de Olivença - AL;2706000;AL;11624;Receitas Brutas Realizadas;1.1.2.8.00.0.0 - Taxas - Específicas de Estados, DF e Municípios;siconfi-cor_RO1.1.2.8.00.0.0;59059,19
Prefeitura Municipal de Olivença - AL;2706000;AL;11624;Receitas Brutas Realizadas;1.1.2.8.01.0.0 - Taxas de Inspeção, Controle e Fiscalização;siconfi-cor_RO1.1.2.8.01.0.0;59059,19
Prefeitura Municipal de Olivença - AL;2706000;AL;11624;Receitas Brutas Realizadas;1.1.2.8.01.9.0 - Taxas de Inspeção, Controle e Fiscalização - Outras;siconfi-cor_RO1.1.2.8.01.9.0;59059,19
Prefeitura Municipal de Olivença - AL;2706000;AL;11624;Receitas Brutas Realizadas;1.2.0.0.00.0.0 - Contribuições;siconfi-cor_RO1.2.0.0.00.0.0;3913707,81
Prefeitura Municipal de Olivença - AL;2706000;AL;11624;Receitas Brutas Realizadas;1.2.1.0.00.0.0 - Contribuições Sociais;siconfi-cor_RO1.2.1.0.00.0.0;3913337,42
Prefeitura Municipal de Olivença - AL;2706000;AL;11624;Receitas Brutas Realizadas;1.2.1.4.00.0.0 - Contribuições para o Regime Geral de Previdência Social - RGPS;siconfi-cor_RO1.2.1.4.00.0.0;3913337,42
Prefeitura Municipal de Olivença - AL;2706000;AL;11624;Receitas Brutas Realizadas;1.2.1.4.01.0.0 - Contribuição Previdenciária da Empresa;siconfi-cor_RO1.2.1.4.01.0.0;2271028,86
Prefeitura Municipal de Olivença - AL;2706000;AL;11624;Receitas Brutas Realizadas;1.2.1.4.02.0.0 - Contribuição Previdenciária do Empregador Doméstico;siconfi-cor_RO1.2.1.4.02.0.0;1642308,56
Prefeitura Municipal de Olivença - AL;2706000;AL;11624;Receitas Brutas Realizadas;1.2.4.0.00.0.0 - Contribuição para o Custeio do Serviço de Iluminação Pública;siconfi-cor_RO1.2.4.0.00.0.0;370,39
Prefeitura Municipal de Olivença - AL;2706000;AL;11624;Receitas Brutas Realizadas;1.3.0.0.00.0.0 - Receita Patrimonial;siconfi-cor_RO1.3.0.0.00.0.0;829883,79
