Exercício: 2015;;;;;;;
Escopo: Municípios do Estado - AL;;;;;;;
Tabela: Despesas por Função (Anexo I-E);;;;;;;
Instituição;Cod.IBGE;UF;População;Coluna;Conta;Identificador da Conta;Valor
Prefeitura Municipal de Novo Lino - AL;2705606;AL;12583;Despesas Empenhadas;Despesas (Exceto Intraorçamentárias);siconfi-cor_TotalDespesas;30168057,11
Prefeitura Municipal de Novo Lino - AL;2705606;AL;12583;Despesas Empenhadas;01 - Legislativa;siconfi-cor_TotalDespesas;934777,37
Prefeitura Municipal de Novo Lino - AL;2705606;AL;12583;Despesas Empenhadas;01.031 - Ação Legislativa;siconfi-cor_TotalDespesas;934777,37
Prefeitura Municipal de Novo Lino - AL;2705606;AL;12583;Despesas Empenhadas;04 - Administração;siconfi-cor_TotalDespesas;7256321,69
Prefeitura Municipal de Novo Lino - AL;2705606;AL;12583;Despesas Empenhadas;04.122 - Administração Geral;siconfi-cor_TotalDespesas;7027103,43
Prefeitura Municipal de Novo Lino - AL;2705606;AL;12583;Despesas Empenhadas;04.123 - Administração Financeira;siconfi-cor_TotalDespesas;229218,26
Prefeitura Municipal de Novo Lino - AL;2705606;AL;12583;Despesas Empenhadas;08 - Assistência Social;siconfi-cor_TotalDespesas;938295,91
Prefeitura Municipal de Novo Lino - AL;2705606;AL;12583;Despesas Empenhadas;08.243 - Assistência à Criança e ao Adolescente;siconfi-cor_TotalDespesas;118611,92
Prefeitura Municipal de Novo Lino - AL;2705606;AL;12583;Despesas Empenhadas;08.244 - Assistência Comunitária;siconfi-cor_TotalDespesas;283795,56
Prefeitura Municipal de Novo Lino - AL;2705606;AL;12583;Despesas Empenhadas;08.999 - Demais Subfunções Assistência Social;siconfi-cor_TotalDespesas;535888,43
Prefeitura Municipal de Novo Lino - AL;2705606;AL;12583;Despesas Empenhadas;09 - Previdência Social;siconfi-cor_TotalDespesas;2437911,06
Prefeitura Municipal de Novo Lino - AL;2705606;AL;12583;Despesas Empenhadas;09.271 - Previdência Básica;siconfi-cor_TotalDespesas;2437911,06
Prefeitura Municipal de Novo Lino - AL;2705606;AL;12583;Despesas Empenhadas;10 - Saúde;siconfi-cor_TotalDespesas;5568135,01
Prefeitura Municipal de Novo Lino - AL;2705606;AL;12583;Despesas Empenhadas;10.301 - Atenção Básica;siconfi-cor_TotalDespesas;2211973,44
Prefeitura Municipal de Novo Lino - AL;2705606;AL;12583;Despesas Empenhadas;10.302 - Assistência Hospitalar e Ambulatorial;siconfi-cor_TotalDespesas;15784,26
Prefeitura Municipal de Novo Lino - AL;2705606;AL;12583;Despesas Empenhadas;10.304 - Vigilância Sanitária;siconfi-cor_TotalDespesas;134852,9
Prefeitura Municipal de Novo Lino - AL;2705606;AL;12583;Despesas Empenhadas;10.999 - Demais Subfunções Saúde;siconfi-cor_TotalDespesas;3205524,41
Prefeitura Municipal de Novo Lino - AL;2705606;AL;12583;Despesas Empenhadas;12 - Educação;siconfi-cor_TotalDespesas;11877748,51
Prefeitura Municipal de Novo Lino - AL;2705606;AL;12583;Despesas Empenhadas;12.361 - Ensino Fundamental;siconfi-cor_TotalDespesas;3096885,24
Prefeitura Municipal de Novo Lino - AL;2705606;AL;12583;Despesas Empenhadas;12.365 - Educação Infantil;siconfi-cor_TotalDespesas;7092525
Prefeitura Municipal de Novo Lino - AL;2705606;AL;12583;Despesas Empenhadas;12.366 - Educação de Jovens e Adultos;siconfi-cor_TotalDespesas;104675,66
Prefeitura Municipal de Novo Lino - AL;2705606;AL;12583;Despesas Empenhadas;12.999 - Demais Subfunções Educação;siconfi-cor_TotalDespesas;1583662,61
Prefeitura Municipal de Novo Lino - AL;2705606;AL;12583;Despesas Empenhadas;13 - Cultura;siconfi-cor_TotalDespesas;657887
Prefeitura Municipal de Novo Lino - AL;2705606;AL;12583;Despesas Empenhadas;13.391 - Patrimônio Histórico, Artístico e Arqueológico;siconfi-cor_TotalDespesas;657887
Prefeitura Municipal de Novo Lino - AL;2705606;AL;12583;Despesas Empenhadas;15 - Urbanismo;siconfi-cor_TotalDespesas;276274,45
Prefeitura Municipal de Novo Lino - AL;2705606;AL;12583;Despesas Empenhadas;15.999 - Demais Subfunções Urbanismo;siconfi-cor_TotalDespesas;276274,45
Prefeitura Municipal de Novo Lino - AL;2705606;AL;12583;Despesas Empenhadas;20 - Agricultura;siconfi-cor_TotalDespesas;47941,41
Prefeitura Municipal de Novo Lino - AL;2705606;AL;12583;Despesas Empenhadas;20.999 - Demais Subfunções Agricultura;siconfi-cor_TotalDespesas;47941,41
Prefeitura Municipal de Novo Lino - AL;2705606;AL;12583;Despesas Empenhadas;27 - Desporto e Lazer;siconfi-cor_TotalDespesas;4770
Prefeitura Municipal de Novo Lino - AL;2705606;AL;12583;Despesas Empenhadas;27.999 - Demais Subfunções Desporto e Lazer;siconfi-cor_TotalDespesas;4770
Prefeitura Municipal de Novo Lino - AL;2705606;AL;12583;Despesas Empenhadas;28 - Encargos Especiais;siconfi-cor_TotalDespesas;167994,7
Prefeitura Municipal de Novo Lino - AL;2705606;AL;12583;Despesas Empenhadas;28.845 - Outras Transferências;siconfi-cor_TotalDespesas;167994,7
Prefeitura Municipal de Novo Lino - AL;2705606;AL;12583;Despesas Liquidadas;Despesas (Exceto Intraorçamentárias);siconfi-cor_TotalDespesas;30168057,11
Prefeitura Municipal de Novo Lino - AL;2705606;AL;12583;Despesas Liquidadas;01 - Legislativa;siconfi-cor_TotalDespesas;934777,37
Prefeitura Municipal de Novo Lino - AL;2705606;AL;12583;Despesas Liquidadas;01.031 - Ação Legislativa;siconfi-cor_TotalDespesas;934777,37
Prefeitura Municipal de Novo Lino - AL;2705606;AL;12583;Despesas Liquidadas;04 - Administração;siconfi-cor_TotalDespesas;7256321,69
Prefeitura Municipal de Novo Lino - AL;2705606;AL;12583;Despesas Liquidadas;04.122 - Administração Geral;siconfi-cor_TotalDespesas;7027103,43
Prefeitura Municipal de Novo Lino - AL;2705606;AL;12583;Despesas Liquidadas;04.123 - Administração Financeira;siconfi-cor_TotalDespesas;229218,26
Prefeitura Municipal de Novo Lino - AL;2705606;AL;12583;Despesas Liquidadas;08 - Assistência Social;siconfi-cor_TotalDespesas;938295,91
Prefeitura Municipal de Novo Lino - AL;2705606;AL;12583;Despesas Liquidadas;08.243 - Assistência à Criança e ao Adolescente;siconfi-cor_TotalDespesas;118611,92
Prefeitura Municipal de Novo Lino - AL;2705606;AL;12583;Despesas Liquidadas;08.244 - Assistência Comunitária;siconfi-cor_TotalDespesas;283795,56
Prefeitura Municipal de Novo Lino - AL;2705606;AL;12583;Despesas Liquidadas;08.999 - Demais Subfunções Assistência Social;siconfi-cor_TotalDespesas;535888,43
Prefeitura Municipal de Novo Lino - AL;2705606;AL;12583;Despesas Liquidadas;09 - Previdência Social;siconfi-cor_TotalDespesas;2437911,06
Prefeitura Municipal de Novo Lino - AL;2705606;AL;12583;Despesas Liquidadas;09.271 - Previdência Básica;siconfi-cor_TotalDespesas;2437911,06
Prefeitura Municipal de Novo Lino - AL;2705606;AL;12583;Despesas Liquidadas;10 - Saúde;siconfi-cor_TotalDespesas;5568135,01
Prefeitura Municipal de Novo Lino - AL;2705606;AL;12583;Despesas Liquidadas;10.301 - Atenção Básica;siconfi-cor_TotalDespesas;2211973,44
Prefeitura Municipal de Novo Lino - AL;2705606;AL;12583;Despesas Liquidadas;10.302 - Assistência Hospitalar e Ambulatorial;siconfi-cor_TotalDespesas;15784,26
Prefeitura Municipal de Novo Lino - AL;2705606;AL;12583;Despesas Liquidadas;10.304 - Vigilância Sanitária;siconfi-cor_TotalDespesas;134852,9
