Exercício: 2021;;;;;;;
Escopo: Municípios do Estado - AL;;;;;;;
Tabela: Despesas por Função (Anexo I-E);;;;;;;
Instituição;Cod.IBGE;UF;População;Coluna;Conta;Identificador da Conta;Valor
Prefeitura Municipal de Arapiraca - AL;2700300;AL;233047;Despesas Empenhadas;Despesas Exceto Intraorçamentárias;siconfi-cor_TotalDespesas;710220606,9
Prefeitura Municipal de Arapiraca - AL;2700300;AL;233047;Despesas Empenhadas;01 - Legislativa;siconfi-cor_TotalDespesas;14553341,08
Prefeitura Municipal de Arapiraca - AL;2700300;AL;233047;Despesas Empenhadas;01.031 - Ação Legislativa;siconfi-cor_TotalDespesas;14553341,08
Prefeitura Municipal de Arapiraca - AL;2700300;AL;233047;Despesas Empenhadas;04 - Administração;siconfi-cor_TotalDespesas;41553838,61
Prefeitura Municipal de Arapiraca - AL;2700300;AL;233047;Despesas Empenhadas;04.121 - Planejamento e Orçamento;siconfi-cor_TotalDespesas;94819,33
Prefeitura Municipal de Arapiraca - AL;2700300;AL;233047;Despesas Empenhadas;04.122 - Administração Geral;siconfi-cor_TotalDespesas;31509729,39
Prefeitura Municipal de Arapiraca - AL;2700300;AL;233047;Despesas Empenhadas;04.123 - Administração Financeira;siconfi-cor_TotalDespesas;4905728,76
Prefeitura Municipal de Arapiraca - AL;2700300;AL;233047;Despesas Empenhadas;04.125 - Normatização e Fiscalização;siconfi-cor_TotalDespesas;155100
Prefeitura Municipal de Arapiraca - AL;2700300;AL;233047;Despesas Empenhadas;04.131 - Comunicação Social;siconfi-cor_TotalDespesas;50721,71
Prefeitura Municipal de Arapiraca - AL;2700300;AL;233047;Despesas Empenhadas;FU04 - Demais Subfunções;siconfi-cor_TotalDespesas;4837739,42
Prefeitura Municipal de Arapiraca - AL;2700300;AL;233047;Despesas Empenhadas;05 - Defesa Nacional;siconfi-cor_TotalDespesas;81600
Prefeitura Municipal de Arapiraca - AL;2700300;AL;233047;Despesas Empenhadas;05.153 - Defesa Terrestre;siconfi-cor_TotalDespesas;81600
Prefeitura Municipal de Arapiraca - AL;2700300;AL;233047;Despesas Empenhadas;08 - Assistência Social;siconfi-cor_TotalDespesas;10441380,81
Prefeitura Municipal de Arapiraca - AL;2700300;AL;233047;Despesas Empenhadas;08.243 - Assistência à Criança e ao Adolescente;siconfi-cor_TotalDespesas;1138642,39
