Exercício: 2019;;;;;;;
Escopo: Municípios do Estado - AL;;;;;;;
Tabela: Despesas por Função (Anexo I-E);;;;;;;
Instituição;Cod.IBGE;UF;População;Coluna;Conta;Identificador da Conta;Valor
Prefeitura Municipal de Coruripe - AL;2702306;AL;56562;Despesas Empenhadas;Despesas Exceto Intraorçamentárias;siconfi-cor_TotalDespesas;205351536,9
Prefeitura Municipal de Coruripe - AL;2702306;AL;56562;Despesas Empenhadas;01 - Legislativa;siconfi-cor_TotalDespesas;5258779,98
Prefeitura Municipal de Coruripe - AL;2702306;AL;56562;Despesas Empenhadas;01.031 - Ação Legislativa;siconfi-cor_TotalDespesas;5258779,98
Prefeitura Municipal de Coruripe - AL;2702306;AL;56562;Despesas Empenhadas;04 - Administração;siconfi-cor_TotalDespesas;15087847,22
Prefeitura Municipal de Coruripe - AL;2702306;AL;56562;Despesas Empenhadas;04.122 - Administração Geral;siconfi-cor_TotalDespesas;10676156,47
Prefeitura Municipal de Coruripe - AL;2702306;AL;56562;Despesas Empenhadas;04.123 - Administração Financeira;siconfi-cor_TotalDespesas;3350965,25
Prefeitura Municipal de Coruripe - AL;2702306;AL;56562;Despesas Empenhadas;04.125 - Normatização e Fiscalização;siconfi-cor_TotalDespesas;191332,71
Prefeitura Municipal de Coruripe - AL;2702306;AL;56562;Despesas Empenhadas;FU04 - Demais Subfunções;siconfi-cor_TotalDespesas;869392,79
Prefeitura Municipal de Coruripe - AL;2702306;AL;56562;Despesas Empenhadas;08 - Assistência Social;siconfi-cor_TotalDespesas;3547442,91
Prefeitura Municipal de Coruripe - AL;2702306;AL;56562;Despesas Empenhadas;08.241 - Assistência ao Idoso;siconfi-cor_TotalDespesas;371000
Prefeitura Municipal de Coruripe - AL;2702306;AL;56562;Despesas Empenhadas;08.243 - Assistência à Criança e ao Adolescente;siconfi-cor_TotalDespesas;595087,74
Prefeitura Municipal de Coruripe - AL;2702306;AL;56562;Despesas Empenhadas;08.244 - Assistência Comunitária;siconfi-cor_TotalDespesas;1462196,91
Prefeitura Municipal de Coruripe - AL;2702306;AL;56562;Despesas Empenhadas;08.122 - Administração Geral;siconfi-cor_TotalDespesas;1009231,11
Prefeitura Municipal de Coruripe - AL;2702306;AL;56562;Despesas Empenhadas;FU08 - Demais Subfunções;siconfi-cor_TotalDespesas;109927,15
Prefeitura Municipal de Coruripe - AL;2702306;AL;56562;Despesas Empenhadas;09 - Previdência Social;siconfi-cor_TotalDespesas;7035397,37
Prefeitura Municipal de Coruripe - AL;2702306;AL;56562;Despesas Empenhadas;09.272 - Previdência do Regime Estatutário;siconfi-cor_TotalDespesas;7035397,37
Prefeitura Municipal de Coruripe - AL;2702306;AL;56562;Despesas Empenhadas;10 - Saúde;siconfi-cor_TotalDespesas;65486549,24
Prefeitura Municipal de Coruripe - AL;2702306;AL;56562;Despesas Empenhadas;10.301 - Atenção Básica;siconfi-cor_TotalDespesas;25193017,39
Prefeitura Municipal de Coruripe - AL;2702306;AL;56562;Despesas Empenhadas;10.302 - Assistência Hospitalar e Ambulatorial;siconfi-cor_TotalDespesas;39745629,55
Prefeitura Municipal de Coruripe - AL;2702306;AL;56562;Despesas Empenhadas;10.303 - Suporte Profilático e Terapêutico;siconfi-cor_TotalDespesas;358817,21
Prefeitura Municipal de Coruripe - AL;2702306;AL;56562;Despesas Empenhadas;10.305 - Vigilância Epidemiológica;siconfi-cor_TotalDespesas;187885,09
Prefeitura Municipal de Coruripe - AL;2702306;AL;56562;Despesas Empenhadas;10.122 - Administração Geral;siconfi-cor_TotalDespesas;1200
Prefeitura Municipal de Coruripe - AL;2702306;AL;56562;Despesas Empenhadas;12 - Educação;siconfi-cor_TotalDespesas;65836556,74
Prefeitura Municipal de Coruripe - AL;2702306;AL;56562;Despesas Empenhadas;12.361 - Ensino Fundamental;siconfi-cor_TotalDespesas;59625579,39
Prefeitura Municipal de Coruripe - AL;2702306;AL;56562;Despesas Empenhadas;12.364 - Ensino Superior;siconfi-cor_TotalDespesas;2334042,78
Prefeitura Municipal de Coruripe - AL;2702306;AL;56562;Despesas Empenhadas;12.365 - Educação Infantil;siconfi-cor_TotalDespesas;1690633,03
Prefeitura Municipal de Coruripe - AL;2702306;AL;56562;Despesas Empenhadas;12.366 - Educação de Jovens e Adultos;siconfi-cor_TotalDespesas;455410,18
Prefeitura Municipal de Coruripe - AL;2702306;AL;56562;Despesas Empenhadas;12.367 - Educação Especial;siconfi-cor_TotalDespesas;50020,88
Prefeitura Municipal de Coruripe - AL;2702306;AL;56562;Despesas Empenhadas;FU12 - Demais Subfunções;siconfi-cor_TotalDespesas;1680870,48
Prefeitura Municipal de Coruripe - AL;2702306;AL;56562;Despesas Empenhadas;13 - Cultura;siconfi-cor_TotalDespesas;3320635,07
Prefeitura Municipal de Coruripe - AL;2702306;AL;56562;Despesas Empenhadas;13.392 - Difusão Cultural;siconfi-cor_TotalDespesas;2564914,37
Prefeitura Municipal de Coruripe - AL;2702306;AL;56562;Despesas Empenhadas;13.122 - Administração Geral;siconfi-cor_TotalDespesas;755720,7
Prefeitura Municipal de Coruripe - AL;2702306;AL;56562;Despesas Empenhadas;14 - Direitos da Cidadania;siconfi-cor_TotalDespesas;483017,13
Prefeitura Municipal de Coruripe - AL;2702306;AL;56562;Despesas Empenhadas;14.122 - Administração Geral;siconfi-cor_TotalDespesas;483017,13
Prefeitura Municipal de Coruripe - AL;2702306;AL;56562;Despesas Empenhadas;15 - Urbanismo;siconfi-cor_TotalDespesas;12165696,22
Prefeitura Municipal de Coruripe - AL;2702306;AL;56562;Despesas Empenhadas;15.451 - Infraestrutura Urbana;siconfi-cor_TotalDespesas;5034504,19
Prefeitura Municipal de Coruripe - AL;2702306;AL;56562;Despesas Empenhadas;15.452 - Serviços Urbanos;siconfi-cor_TotalDespesas;199379,45
