Exercício: 2017;;;;;;;
Escopo: Municípios do Estado - AL;;;;;;;
Tabela: Despesas por Função (Anexo I-E);;;;;;;
Instituição;Cod.IBGE;UF;População;Coluna;Conta;Identificador da Conta;Valor
Prefeitura Municipal de Paripueira - AL;2706448;AL;13076;Despesas Empenhadas;Despesas Exceto Intraorçamentárias;siconfi-cor_TotalDespesas;33936383,31
Prefeitura Municipal de Paripueira - AL;2706448;AL;13076;Despesas Empenhadas;01 - Legislativa;siconfi-cor_TotalDespesas;1036476,47
Prefeitura Municipal de Paripueira - AL;2706448;AL;13076;Despesas Empenhadas;01.031 - Ação Legislativa;siconfi-cor_TotalDespesas;1036476,47
Prefeitura Municipal de Paripueira - AL;2706448;AL;13076;Despesas Empenhadas;02 - Judiciária;siconfi-cor_TotalDespesas;38889,5
Prefeitura Municipal de Paripueira - AL;2706448;AL;13076;Despesas Empenhadas;02.061 - Ação Judiciária;siconfi-cor_TotalDespesas;38889,5
Prefeitura Municipal de Paripueira - AL;2706448;AL;13076;Despesas Empenhadas;04 - Administração;siconfi-cor_TotalDespesas;7691056,69
Prefeitura Municipal de Paripueira - AL;2706448;AL;13076;Despesas Empenhadas;04.121 - Planejamento e Orçamento;siconfi-cor_TotalDespesas;105840
Prefeitura Municipal de Paripueira - AL;2706448;AL;13076;Despesas Empenhadas;04.122 - Administração Geral;siconfi-cor_TotalDespesas;7094397,81
Prefeitura Municipal de Paripueira - AL;2706448;AL;13076;Despesas Empenhadas;04.123 - Administração Financeira;siconfi-cor_TotalDespesas;490818,88
Prefeitura Municipal de Paripueira - AL;2706448;AL;13076;Despesas Empenhadas;08 - Assistência Social;siconfi-cor_TotalDespesas;1486606,17
Prefeitura Municipal de Paripueira - AL;2706448;AL;13076;Despesas Empenhadas;08.244 - Assistência Comunitária;siconfi-cor_TotalDespesas;1486606,17
Prefeitura Municipal de Paripueira - AL;2706448;AL;13076;Despesas Empenhadas;10 - Saúde;siconfi-cor_TotalDespesas;6089117,34
Prefeitura Municipal de Paripueira - AL;2706448;AL;13076;Despesas Empenhadas;10.301 - Atenção Básica;siconfi-cor_TotalDespesas;5616140,11
Prefeitura Municipal de Paripueira - AL;2706448;AL;13076;Despesas Empenhadas;10.302 - Assistência Hospitalar e Ambulatorial;siconfi-cor_TotalDespesas;211632,99
Prefeitura Municipal de Paripueira - AL;2706448;AL;13076;Despesas Empenhadas;10.303 - Suporte Profilático e Terapêutico;siconfi-cor_TotalDespesas;98241,69
Prefeitura Municipal de Paripueira - AL;2706448;AL;13076;Despesas Empenhadas;10.305 - Vigilância Epidemiológica;siconfi-cor_TotalDespesas;163102,55
Prefeitura Municipal de Paripueira - AL;2706448;AL;13076;Despesas Empenhadas;11 - Trabalho;siconfi-cor_TotalDespesas;74948
Prefeitura Municipal de Paripueira - AL;2706448;AL;13076;Despesas Empenhadas;11.334 - Fomento ao Trabalho;siconfi-cor_TotalDespesas;74948
Prefeitura Municipal de Paripueira - AL;2706448;AL;13076;Despesas Empenhadas;12 - Educação;siconfi-cor_TotalDespesas;12497960,07
Prefeitura Municipal de Paripueira - AL;2706448;AL;13076;Despesas Empenhadas;12.361 - Ensino Fundamental;siconfi-cor_TotalDespesas;12446245,9
Prefeitura Municipal de Paripueira - AL;2706448;AL;13076;Despesas Empenhadas;12.365 - Educação Infantil;siconfi-cor_TotalDespesas;49754,17
Prefeitura Municipal de Paripueira - AL;2706448;AL;13076;Despesas Empenhadas;12.366 - Educação de Jovens e Adultos;siconfi-cor_TotalDespesas;1960
Prefeitura Municipal de Paripueira - AL;2706448;AL;13076;Despesas Empenhadas;13 - Cultura;siconfi-cor_TotalDespesas;236420,2
Prefeitura Municipal de Paripueira - AL;2706448;AL;13076;Despesas Empenhadas;13.392 - Difusão Cultural;siconfi-cor_TotalDespesas;236420,2
Prefeitura Municipal de Paripueira - AL;2706448;AL;13076;Despesas Empenhadas;15 - Urbanismo;siconfi-cor_TotalDespesas;4323893,87
