Exercício: 2021;;;;;;;
Escopo: Municípios do Estado - AL;;;;;;;
Tabela: Receitas Orçamentárias (Anexo I-C);;;;;;;
Instituição;Cod.IBGE;UF;População;Coluna;Conta;Identificador da Conta;Valor
Prefeitura Municipal de Arapiraca - AL;2700300;AL;233047;Receitas Brutas Realizadas;RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I);siconfi-cor_ReceitasExcetoIntraOrcamentarias;795780925,3
Prefeitura Municipal de Arapiraca - AL;2700300;AL;233047;Receitas Brutas Realizadas;1.0.0.0.00.0.0 - Receitas Correntes;siconfi-cor_RO1.0.0.0.00.0.0;777075300,4
Prefeitura Municipal de Arapiraca - AL;2700300;AL;233047;Receitas Brutas Realizadas;1.1.0.0.00.0.0 - Impostos, Taxas e Contribuições de Melhoria;siconfi-cor_RO1.1.0.0.00.0.0;81031790,98
Prefeitura Municipal de Arapiraca - AL;2700300;AL;233047;Receitas Brutas Realizadas;1.1.1.0.00.0.0 - Impostos;siconfi-cor_RO1.1.1.0.00.0.0;73571774,94
Prefeitura Municipal de Arapiraca - AL;2700300;AL;233047;Receitas Brutas Realizadas;1.1.1.3.00.0.0 - Impostos sobre a Renda e Proventos de Qualquer Natureza;siconfi-cor_RO1.1.1.3.00.0.0;15669558,74
Prefeitura Municipal de Arapiraca - AL;2700300;AL;233047;Receitas Brutas Realizadas;1.1.1.3.03.0.0 - Imposto sobre a Renda - Retido na Fonte;siconfi-cor_RO1.1.1.3.03.0.0;15669558,74
Prefeitura Municipal de Arapiraca - AL;2700300;AL;233047;Receitas Brutas Realizadas;1.1.1.3.03.1.0 - Imposto sobre a Renda - Retido na Fonte - Trabalho;siconfi-cor_RO1.1.1.3.03.1.0;15669558,74
Prefeitura Municipal de Arapiraca - AL;2700300;AL;233047;Receitas Brutas Realizadas;1.1.1.8.00.0.0 - Impostos Específicos de Estados, DF e Municípios;siconfi-cor_RO1.1.1.8.00.0.0;57902216,2
Prefeitura Municipal de Arapiraca - AL;2700300;AL;233047;Receitas Brutas Realizadas;1.1.1.8.01.0.0 - Impostos sobre o Patrimônio para Estados/DF/Municípios;siconfi-cor_RO1.1.1.8.01.0.0;24342253,92
Prefeitura Municipal de Arapiraca - AL;2700300;AL;233047;Receitas Brutas Realizadas;1.1.1.8.01.1.0 - Imposto sobre a Propriedade Predial e Territorial Urbana;siconfi-cor_RO1.1.1.8.01.1.0;17955350,48
Prefeitura Municipal de Arapiraca - AL;2700300;AL;233047;Receitas Brutas Realizadas;1.1.1.8.01.4.0 - Imposto sobre Transmissão ¿Inter Vivos¿ de Bens Imóveis e de Direitos Reais sobre Imóveis;siconfi-cor_RO1.1.1.8.01.4.0;6386903,44
Prefeitura Municipal de Arapiraca - AL;2700300;AL;233047;Receitas Brutas Realizadas;1.1.1.8.02.0.0 - Impostos sobre a Produção, Circulação de Mercadorias e Serviços;siconfi-cor_RO1.1.1.8.02.0.0;33559962,28
Prefeitura Municipal de Arapiraca - AL;2700300;AL;233047;Receitas Brutas Realizadas;1.1.1.8.02.3.0 - Imposto sobre Serviços de Qualquer Natureza;siconfi-cor_RO1.1.1.8.02.3.0;33559962,28
Prefeitura Municipal de Arapiraca - AL;2700300;AL;233047;Receitas Brutas Realizadas;1.1.2.0.00.0.0 - Taxas;siconfi-cor_RO1.1.2.0.00.0.0;7460016,04
Prefeitura Municipal de Arapiraca - AL;2700300;AL;233047;Receitas Brutas Realizadas;1.1.2.1.00.0.0 - Taxas pelo Exercício do Poder de Polícia;siconfi-cor_RO1.1.2.1.00.0.0;794005,22
Prefeitura Municipal de Arapiraca - AL;2700300;AL;233047;Receitas Brutas Realizadas;1.1.2.1.01.0.0 - Taxas de Inspeção, Controle e Fiscalização;siconfi-cor_RO1.1.2.1.01.0.0;785335,42
Prefeitura Municipal de Arapiraca - AL;2700300;AL;233047;Receitas Brutas Realizadas;1.1.2.1.04.0.0 - Taxa de Controle e Fiscalização Ambiental;siconfi-cor_RO1.1.2.1.04.0.0;8669,8
Prefeitura Municipal de Arapiraca - AL;2700300;AL;233047;Receitas Brutas Realizadas;1.1.2.8.00.0.0 - Taxas - Específicas de Estados, DF e Municípios;siconfi-cor_RO1.1.2.8.00.0.0;6666010,82
Prefeitura Municipal de Arapiraca - AL;2700300;AL;233047;Receitas Brutas Realizadas;1.1.2.8.01.0.0 - Taxas de Inspeção, Controle e Fiscalização;siconfi-cor_RO1.1.2.8.01.0.0;5332930,9
Prefeitura Municipal de Arapiraca - AL;2700300;AL;233047;Receitas Brutas Realizadas;1.1.2.8.01.1.0 - Taxa de Fiscalização de Vigilância Sanitária;siconfi-cor_RO1.1.2.8.01.1.0;195486,86
Prefeitura Municipal de Arapiraca - AL;2700300;AL;233047;Receitas Brutas Realizadas;1.1.2.8.01.9.0 - Taxas de Inspeção, Controle e Fiscalização - Outras;siconfi-cor_RO1.1.2.8.01.9.0;5137444,04
Prefeitura Municipal de Arapiraca - AL;2700300;AL;233047;Receitas Brutas Realizadas;1.1.2.8.02.0.0 - Taxas pela Prestação de Serviços;siconfi-cor_RO1.1.2.8.02.0.0;1333079,92
Prefeitura Municipal de Arapiraca - AL;2700300;AL;233047;Receitas Brutas Realizadas;1.1.2.8.02.9.0 - Taxas pela Prestação de Serviços - Outras;siconfi-cor_RO1.1.2.8.02.9.0;1333079,92
Prefeitura Municipal de Arapiraca - AL;2700300;AL;233047;Receitas Brutas Realizadas;1.2.0.0.00.0.0 - Contribuições;siconfi-cor_RO1.2.0.0.00.0.0;38129923,59
Prefeitura Municipal de Arapiraca - AL;2700300;AL;233047;Receitas Brutas Realizadas;1.2.1.0.00.0.0 - Contribuições Sociais;siconfi-cor_RO1.2.1.0.00.0.0;13989746,27
Prefeitura Municipal de Arapiraca - AL;2700300;AL;233047;Receitas Brutas Realizadas;1.2.1.8.00.0.0 - Contribuições Sociais Específicas de Estados, DF e Municípios;siconfi-cor_RO1.2.1.8.00.0.0;13989746,27
Prefeitura Municipal de Arapiraca - AL;2700300;AL;233047;Receitas Brutas Realizadas;1.2.1.8.01.0.0 - Contribuição do Servidor Civil para o Plano de Seguridade Social - CPSSS - Específico de EST/DF/MUN;siconfi-cor_RO1.2.1.8.01.0.0;13989746,27
Prefeitura Municipal de Arapiraca - AL;2700300;AL;233047;Receitas Brutas Realizadas;1.2.1.8.01.1.0 - CPSSS do Servidor Civil Ativo;siconfi-cor_RO1.2.1.8.01.1.0;13876276,77
Prefeitura Municipal de Arapiraca - AL;2700300;AL;233047;Receitas Brutas Realizadas;1.2.1.8.01.2.0 - CPSSS do Servidor Civil Inativo;siconfi-cor_RO1.2.1.8.01.2.0;79420,64
Prefeitura Municipal de Arapiraca - AL;2700300;AL;233047;Receitas Brutas Realizadas;1.2.1.8.01.3.0 - CPSSS do Servidor Civil - Pensionistas;siconfi-cor_RO1.2.1.8.01.3.0;34048,86
